rank,brand,legal_entity,bin,group,portfolio_30_06_2025_bn,portfolio_30_06_2025_est_bn,portfolio_30_06_2025_basis,portfolio_01_10_2024_bn,assets_01_10_2024_bn,equity_01_10_2024_bn,asset_share_01_04_2025_pct,net_profit_9m_2024_bn,net_profit_h1_2025_bn,net_profit_q1_2026_bn,revenue_bn,taxes_paid_2025_bn,taxes_paid_2026_ytd_bn,retail_points,retail_points_source,registered_filials,cities_count,cities_source,cities_list,clients,clients_source,headcount_band,portfolio_per_point_mn_kzt,oked,status,ceo,ownership,legal_address
1,М-Ломбард,"ТОО ""М-ЛОМБАРД""",010540000712,М-Ломбард Group,44.4,,"reported (ranking.kz, NBK)",30.537,56.717,32.861,13.5,4.978,7.6,12.9,n/a - not published per company,8.53,6.001,603,company/press (2025-2026),49,100,company (100+ городов),n/a - only 4 of ~603 points geocoded; list omitted as unrepresentative,,,Крупные предприятия (>1000) (от 1001 до 999999 чел.),73.6,64921 Деятельность ломбардов,Активен,АЛИЕВ ГУЛАМ АРИФОВИЧ,Собственность иностранных юридических лиц,"050040, ГОРОД АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, УЛ. ПОПОВА, Д. 33"
2,МК-Ломбард,"ТОО ""МК-ЛОМБАРД""",090540011693,М-Ломбард Group,36.2,,"reported (ranking.kz, NBK)",24.634,41.557,19.65,10.3,3.556,5.5,10.5,n/a - not published per company,6.948,3.592,,not separately disclosed (shares М-Ломбард brand/network),57,,,,,,Крупные предприятия (>1000) (от 1001 до 999999 чел.),,64921 Деятельность ломбардов,Активен,АЛИЕВ ГУЛАМ АРИФОВИЧ,Собственность иностранных юридических лиц,"050040, ГОРОД АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, УЛ. ПОПОВА, Д. 29"
3,Сейф-Ломбард,"ТОО ""СЕЙФ-ЛОМБАРД""",090440011332,—,32.3,,"reported (ranking.kz, NBK)",23.367,30.448,22.747,9.1,1.266,1.6,,n/a - not published per company,1.887,2.241,140,company site 09.2026 («более 140 отделений»),9,17,profinance branch list,Аксай; Актобе; Алга; Алматы; Астана; Атырау; Кандыагаш; Караганда; Кентау; Кызылорда; Семей; Тараз; Туркестан; Уральск; Усть-Каменогорск; Хромтау; Шымкент,720000,press (720 000+ клиентов),Крупные предприятия (251-500) (от 251 до 500 чел.),230.7,"64992 Другие финансовые услуги, финансирование в различных отраслях экономики, инвестиционная деятельность",Активен,КИМ ГЕННАДИЙ ВИКТОРОВИЧ,Собственность предприятий без государственного и иностранного участия,"A05B8Y8, ГОРОД АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, УЛ. БОГЕНБАЙ БАТЫРА, Д. 156"
4,МК-Золото Ломбард,"ТОО ""МК-ЗОЛОТО ЛОМБАРД""",180640013454,—,32.0,,"reported (ranking.kz, NBK)",25.118,38.047,17.022,9.8,2.836,3.7,9.7,n/a - not published per company,4.736,3.93,144,profinance branch list (АРРФР-сверен),29,38,profinance branch list,Актау; Актобе; Алматы; Астана; Атырау; Аягоз; Бауыржан Момышулы; Бурундай; Есик; Жанакорган; Жанаозен; Жанатас; Жаркент; Зачаганск; Кандыагаш; Каратау; Каскелен; Кентау; Конаев; Косшы; Кулан; Кульсары; Кызылорда; Мерке; Отеген Батыр; Сарыкемер; Семей; Талгар; Тараз; Туркестан; Узынагаш; Уральск; Усть-Каменогорск; Хромтау; Шалкар; Шиели; Шу; Шымкент,,,Крупные предприятия (251-500) (от 251 до 500 чел.),222.2,64921 Деятельность ломбардов,Активен,ОСИПОВА ЛЮДМИЛА ВАЛЕНТИНОВНА,Собственность предприятий без государственного и иностранного участия,"A15E3E8, ГОРОД АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, ПР. АЛЬ-ФАРАБИ, Д. 73/2"
5,Астра-Ломбард,"ТОО ""АСТРА-ЛОМБАРД""",950840000213,—,23.0,,"reported (ranking.kz, NBK)",19.671,28.311,24.368,7.1,0.7,2.6,,n/a - not published per company,2.683,1.972,400,profinance editorial («400+ филиалов»),21,,,n/a - only 9 of ~400 points geocoded; list omitted as unrepresentative,,,Крупные предприятия (501-1000) (от 501 до 1000 чел.),57.5,64921 Деятельность ломбардов,Активен,СУБАЛОВА СВЕТЛАНА ТЕКЕБАЙЕВНА,Собственность предприятий без государственного и иностранного участия,"040800, АЛМАТИНСКАЯ ОБЛАСТЬ, ГОРОД КАПШАГАЙ, МКР. 4, Д. 29, КВ. 18"
6,Деньги населению (Деньги Маркет),"ТОО ""ЛОМБАРД ""ДЕНЬГИ НАСЕЛЕНИЮ""""",141240005256,—,22.5,,"reported (ranking.kz, NBK)",14.792,20.232,9.698,6.0,0.995,2.7,,n/a - not published per company,2.545,2.204,324,company («324 отделения»); 302 geocoded,20,123,profinance branch list,Абай; Акниет; Аксай; Аксу; Аксукент; Актау; Актобе; Алга; Алматы; Алтай; Аральск; Аркалык; Арысь; Аса; Астана; Асыката; Атакент; Атасу; Атбасар; Атырау; Аягоз; Балпык Би; Балхаш; Баскудык; Бауыржан Момышулы; Бейнеу; Бескол; Бурундай; Восточный; Достык; Есик; Ески Икан; Жалагаш; Жанакорган; Жанаозен; Жанатас; Жаркент; Жезказган; Жетыбай; Жетысай; Жибек Жолы; Жибек жолы; Житикара; Жосалы; Зайсан; Индерборский; Иргели; Казалинск; Казыгурт; Калбатау; Кандыагаш; Карабулак; Караганда; Каратау; Каргалы; Каскелен; Кентау; Кокшетау; Конаев; Кордай; Костанай; Косшы; Кулан; Кульсары; Курык; Кызылорда; Ленгер; Лисаковск; Макат; Макинск; Мангистау; Мерке; Мухаметжан Туймебаев; Мырзакент; Новоишимское; Отеген Батыр; Павлодар; Петропавловск; Риддер; Рудный; Саркан; Сарыагаш; Сарыкемер; Сарыозек; Сатпаев; Семей; Степногорск; Тайынша; Талгар; Талдыкорган; Тараз; Тасбогет; Текели; Темирлановка; Темиртау; Теренозек; Тобыл; Торткуль; Турар Рыскулов; Туркестан; Узынагаш; Уральск; Урджар; Усть-Каменогорск; Ушарал; Уштобе; Хромтау; Чунджа; Шалкар; Шардара; Шаульдер; Шахтинск; Шаян; Шелек; Шемонаиха; Шетпе; Шиели; Шолаккорган; Шу; Шымкент; Щучинск; Экибастуз; Эмба,,,Крупные предприятия (251-500) (от 251 до 500 чел.),69.4,64921 Деятельность ломбардов,Активен,ШЕБЕДА ДМИТРИЙ БОРИСОВИЧ,Собственность предприятий без государственного и иностранного участия,"110000, КОСТАНАЙСКАЯ ОБЛАСТЬ, ГОРОД КОСТАНАЙ, УЛ. АМАНГЕЛЬДЫ, Д. 46"
7,Birinshi Lombard,"ТОО ""BIRINSHI LOMBARD"" (БІРІНШІ ЛОМБАРД)",190540020930,—,22.3,,"reported (ranking.kz, NBK)",17.415,25.297,12.838,7.0,2.082,2.9,,n/a - not published per company,3.15,2.067,420,company site 09.2026 («420 отделений»); 278 geocoded,18,64,profinance branch list,Айтеке-би; Аксу; Актау; Актобе; Алга; Алматы; Аральск; Арысь; Астана; Атырау; Аягоз; Байсерке; Балхаш; Ерейментау; Есик; Жанакорган; Жанаозен; Жанатас; Жаркент; Жетысай; Житикара; Жосалы; Кандыагаш; Караганда; Каратау; Каскелен; Кентау; Кокшетау; Конаев; Костанай; Кульсары; Кызылорда; Ленгер; Лисаковск; Мерке; Павлодар; Петропавловск; Риддер; Рудный; Сарань; Сарканд; Сарыагаш; Семей; Степногорск; Талгар; Талдыкорган; Тараз; Текели; Темиртау; Тургень; Туркестан; Узынагаш; Уральск; Усть-Каменогорск; Ушарал; Уштобе; Хромтау; Шалкар; Шардара; Шемонаиха; Шу; Шымкент; Щучинск; Экибастуз,375000,company site («более 375 000 клиентов»),Крупные предприятия (>1000) (от 1001 до 999999 чел.),53.1,64921 Деятельность ломбардов,Активен,ТОКТОМБЕКОВ ТЕМИРБЕК КАЛМУРЗАЕВИЧ,Собственность предприятий без государственного и иностранного участия,"050009, ГОРОД АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, УЛ. РОЗЫБАКИЕВА, Д. 37"
8,GoldFinMarket (GFM),"ТОО ""ЛОМБАРД ""GOLDFINMARKET""""",230140025888,—,,7.64,ESTIMATE = 01.10.2024 actual x 1.298 sector growth (+/-15%),5.885,6.364,1.04,2.2,0.148,,,n/a - not published per company,0.148,0.402,39,profinance branch list,7,13,profinance branch list,Алматы; Арысь; Астана; Казыгурт; Ленгер; Сарыагаш; Семей; Талдыкорган; Тараз; Торткуль; Усть-Каменогорск; Шаульдер; Шымкент,,,Средние предприятия (101-150) (от 101 до 150 чел.),195.9,64921 Деятельность ломбардов,Активен,ДАУЛЕТАЛИЕВ МАХСАТ МУСЛИМОВИЧ,Собственность предприятий без государственного и иностранного участия,"160700, ТУРКЕСТАНСКАЯ ОБЛАСТЬ, ОТЫРАРСКИЙ РАЙОН, ШАУЛЬДЕРСКИЙ СЕЛЬСКИЙ ОКРУГ, СЕЛО ШАУЛЬДЕР, ПР. ЖИБЕК ЖОЛЫ, ЗД. 22/6"
9,Auto money (Авто мани),"ТОО ""ЛОМБАРД AUTO MONEY (АВТО МАНИ)""",180840014955,—,,4.81,ESTIMATE = 01.10.2024 actual x 1.298 sector growth (+/-15%),3.708,3.988,0.271,,-0.03,,,n/a - not published per company,0.112,0.054,4,profinance branch list,4,3,,Алматы; Астана; Тараз,,,Малые предприятия (51-100) (от 51 до 100 чел.),1202.5,64921 Деятельность ломбардов,Активен,БОНДАРЕНКО ВЛАДИМИР,Собственность иностранных юридических лиц,"050062, ГОРОД АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, УЛ. КАБДОЛОВА, Д. 16, ОФИС 8"
10,Гарант KZ,"ТОО ""ЛОМБАРД ГАРАНТ KZ""",110240014089,—,,3.9,ESTIMATE = 01.10.2024 actual x 1.298 sector growth (+/-15%),3.008,3.749,2.753,,0.141,,,n/a - not published per company,,,,,1,,,,,,Крупные предприятия (251-500) (от 251 до 500 чел.),,64921 Деятельность ломбардов,Активен,РИЗНИЧУК НАДЕЖДА ВАСИЛЬЕВНА,Собственность предприятий без государственного и иностранного участия,"M01F2P4, КАРАГАНДИНСКАЯ ОБЛАСТЬ, ГОРОД КАРАГАНДА, РАЙОН ИМЕНИ КАЗЫБЕК БИ, ПР. БУХАР ЖЫРАУ, СТ-Е 57/1"
